experiment_name,model,preprocessing_version,feature_set,cv_metric,cv_metric_mean,cv_metric_std,mae_mean,r2_mean,runtime_seconds,notes,submission_filename
oof_weighted_candidate_blend_v2,Weighted average of OOF candidate predictions,mixed,mixed,rmse,1.217044316719815,,0.9711531608224728,0.7026103507823607,,"OOF-optimized non-negative weights: {""ridge_current_features"": 0.0, ""ridge_plus_features"": 0.41144, ""hgb_main_plus_ohe_noscale"": 0.02316, ""hgb_regularized_plus_ohe_noscale"": 0.09452, ""hgb_slow_plus_ohe_noscale"": 0.03641, ""hgb_regularized_plus_native_cat"": 0.0, ""hgb_native_current_regularized"": 0.18928, ""hgb_native_plus_leaf8_lr06"": 0.1712, ""hgb_native_plus_leaf12_lr05"": 0.0, ""hgb_native_plus_leaf15_lr035_l2_2"": 0.0, ""hgb_native_plus_leaf31_lr03"": 0.0, ""hgb_native_plus_leaf31_lr025_l2_15"": 0.07399, ""hgb_native_plus_max_features08"": 0.0, ""hgb_native_plus_bins64"": 0.0}",
final_improved_ensemble_cli,"VotingRegressor(ridge_plus, HGB ohe variants, native categorical HGB variants)",mixed_ohe_and_native_categorical,mixed_current_and_plus_features,rmse,1.217117113218992,0.010785273872141394,0.9710931306916292,0.7025747734865903,191.988,"Project CLI verification of improved_ensemble; rounded OOF weights [0.41, 0.02, 0.10, 0.04, 0.19, 0.17, 0.07]. Previous public leaderboard score reported by user: 1.20901.",submission_improved.csv
oof_weighted_candidate_blend,Weighted average of OOF candidate predictions,mixed,plus_features,rmse,1.217883855538039,,0.9717835806643552,0.7021999199300376,,"OOF-optimized non-negative weights: {""ridge_current_features"": 0.04812, ""ridge_plus_features"": 0.41711, ""hgb_main_plus_ohe_noscale"": 0.06077, ""hgb_regularized_plus_ohe_noscale"": 0.13836, ""hgb_slow_plus_ohe_noscale"": 0.08029, ""hgb_regularized_plus_native_cat"": 0.25534}",
previous_saved_ensemble,"VotingRegressor(HGB,HGB,Ridge)",previous_ohe_numeric_scaled,current_features,rmse,1.2200678770458786,0.0108838044216145,0.973354350392256,0.701130877168466,60.783,Previously saved local CV; public leaderboard score reported by user: 1.20901.,submission_latest.csv
hgb_native_plus_leaf8_lr06,HistGradientBoostingRegressor,native_categorical_no_imputation,plus_features,rmse,1.2245282855223614,0.0099917583276274,0.9776755655597774,0.6989416298749592,4.168,"Small-leaf native HGB. params={""max_iter"": 700, ""learning_rate"": 0.06, ""max_leaf_nodes"": 8, ""min_samples_leaf"": 45, ""l2_regularization"": 0.1, ""random_state"": 143}",
ridge_plus_features,RidgeCV,ohe_numeric_scaled,plus_features,rmse,1.2245815539679097,0.0112196176354234,0.9757529671116836,0.6989154365066265,20.817,Ridge with additional sleep/load ratio and category-combo features.,
hgb_native_current_regularized,HistGradientBoostingRegressor,native_categorical_no_imputation,current_features,rmse,1.2248885788651258,0.0105417365017474,0.9773853514540018,0.6987644428139428,4.73,"Native categorical HGB on previous feature set. params={""max_iter"": 900, ""learning_rate"": 0.04, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 35, ""l2_regularization"": 0.08, ""random_state"": 53}",
hgb_native_plus_leaf15_lr035_l2_2,HistGradientBoostingRegressor,native_categorical_no_imputation,plus_features,rmse,1.2250090579247888,0.0097700547334716,0.9775612552083364,0.6987051813233102,6.336,"Lower LR more L2 native HGB. params={""max_iter"": 1100, ""learning_rate"": 0.035, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 25, ""l2_regularization"": 0.2, ""random_state"": 145}",
hgb_native_plus_max_features08,HistGradientBoostingRegressor,native_categorical_no_imputation,plus_features,rmse,1.2250884697954738,0.0103642535313556,0.9773516305263448,0.6986661168599996,5.629,"Native HGB with feature subsampling. params={""max_iter"": 900, ""learning_rate"": 0.045, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 35, ""l2_regularization"": 0.08, ""max_features"": 0.8, ""random_state"": 148}",
hgb_native_plus_leaf12_lr05,HistGradientBoostingRegressor,native_categorical_no_imputation,plus_features,rmse,1.2252415976612112,0.0105935956297536,0.9779328312170305,0.6985907827118194,4.786,"Moderately regularized native HGB. params={""max_iter"": 850, ""learning_rate"": 0.05, ""max_leaf_nodes"": 12, ""min_samples_leaf"": 35, ""l2_regularization"": 0.12, ""random_state"": 144}",
hgb_regularized_plus_native_cat,HistGradientBoostingRegressor,native_categorical_no_imputation,plus_features,rmse,1.2257835670105344,0.0099731035754708,0.9784094923317213,0.6983240750085468,5.758,Native categorical HGB using pandas category dtypes.,
hgb_native_plus_leaf31_lr025_l2_15,HistGradientBoostingRegressor,native_categorical_no_imputation,plus_features,rmse,1.22619959915058,0.0102914061831205,0.9796806687158448,0.6981192620503186,9.469,"Slow larger-leaf native HGB. params={""max_iter"": 1500, ""learning_rate"": 0.025, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20, ""l2_regularization"": 0.15, ""random_state"": 147}",
hgb_native_plus_bins64,HistGradientBoostingRegressor,native_categorical_no_imputation,plus_features,rmse,1.226476086223287,0.0097302517681194,0.9791574565834787,0.6979831087981192,4.753,"Native HGB with fewer numeric bins. params={""max_iter"": 900, ""learning_rate"": 0.045, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 35, ""l2_regularization"": 0.08, ""max_bins"": 64, ""random_state"": 149}",
hgb_native_plus_leaf31_lr03,HistGradientBoostingRegressor,native_categorical_no_imputation,plus_features,rmse,1.2268543054158507,0.0105339782082908,0.97965625202637,0.697796808879434,8.06,"Larger-leaf native HGB. params={""max_iter"": 1100, ""learning_rate"": 0.03, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 25, ""l2_regularization"": 0.05, ""random_state"": 146}",
hgb_regularized_plus_ohe_noscale,HistGradientBoostingRegressor,ohe_numeric_unscaled,plus_features,rmse,1.2280444491304356,0.0106429476001971,0.9808231502867673,0.6972102034798886,24.516,Regularized HGB variant; close to previous best single model.,
ridge_current_features,RidgeCV,ohe_numeric_scaled,current_features,rmse,1.2284406398044476,0.0115193394210061,0.978291549003694,0.6970148003823022,17.983,Ridge baseline with previous engineered features.,
hgb_slow_plus_ohe_noscale,HistGradientBoostingRegressor,ohe_numeric_unscaled,plus_features,rmse,1.2292212664687687,0.0115322011455635,0.9826114868279962,0.6966296072078196,43.911,Lower learning-rate HGB variant for diversity.,
hgb_main_plus_ohe_noscale,HistGradientBoostingRegressor,ohe_numeric_unscaled,plus_features,rmse,1.2293791656659836,0.0112435535542366,0.9823801139564216,0.6965516635220061,35.093,Main HGB with plus features and no numeric scaling.,
